,biomarker,clustering,SI
0,AB42,2,0.7071
1,AB42,3,0.6662
2,AB42,4,0.6563
3,AB42,5,0.6739
4,AB42,6,0.6673
5,AB42,7,0.6647
6,AB42,8,0.664
7,AB42,9,0.6729
8,AB42,10,0.6751
9,t-tau,2,0.609
10,t-tau,3,0.5539
11,t-tau,4,0.5486
12,t-tau,5,0.5592
13,t-tau,6,0.5598
14,t-tau,7,0.5473
15,t-tau,8,0.5463
16,t-tau,9,0.5606
17,t-tau,10,0.5563
18,p-tau,2,0.6306
19,p-tau,3,0.6003
20,p-tau,4,0.5454
21,p-tau,5,0.5487
22,p-tau,6,0.5458
23,p-tau,7,0.5316
24,p-tau,8,0.5407
25,p-tau,9,0.555
26,p-tau,10,0.5597
27,All_AB42,2,0.4495
28,All_AB42,3,0.4432
29,All_AB42,4,0.4419
30,All_AB42,5,0.4121
31,All_AB42,6,0.4019
32,All_AB42,7,0.4016
33,All_AB42,8,0.407
34,All_AB42,9,0.3861
35,All_AB42,10,0.3767
